Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Médio,VW,POLO,GTS  250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,S,E,F,36,142,4,B,0,106,\,8.0,10.0,11.6,14.2,\,\,1.71,\,C,B,-
Médio,VW,VIRTUS,GTS  250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,S,E,F,40,191,3,B,0,102,\,8.0,10.0,11.9,14.7,\,\,1.68,\,C,B,-
Médio,VW,VIRTUS,COMFORTLINE 200TSI AUTOMATIC,1.0-12V,Combustão,A - 6,S,E,F,52,256,5,B,0,114,\,8.3,10.5,12.0,14.9,\,\,1.64,\,B,B,-
Médio,VW,VIRTUS,HIGHLINE 200TSI AUTOMATIC,1.0-12V,Combustão,A - 6,S,E,F,52,256,5,B,0,114,\,8.3,10.5,12.0,14.9,\,\,1.64,\,B,B,-
Médio,VW,VOYAGE,MPI,1.0-12V,Combustão,M - 5,S,H,F,40,155,4,B,0,91,\,9.5,10.9,13.8,15.6,\,\,1.47,\,A,B,SIM
Grande,AUDI,A3 Sedan,S line,2.0 - 16V,Híbrido,A-7,S,E,G,13,138,0,A,\,121,\,\,\,10.2,12.6,\,\,1.96,\,C,C,-
Grande,AUDI,A3 Sedan,Performance Black,2.0 - 16V,Híbrido,A-7,S,E,G,13,138,0,A,\,121,\,\,\,10.2,12.6,\,\,1.96,\,C,C,-
Grande,BYD,D1,GL 180EV,ELÉTRICO,Elétrico,N.A.,S,E,E,0,0,0,A,\,\,\,\,\,\,\,39.2,34.2,0.55,258,A,A,-
Grande,BYD,D1,GS 180EV,ELÉTRICO,Elétrico,N.A.,S,E,E,0,0,0,A,\,\,\,\,\,\,\,39.2,34.2,0.55,258,A,A,-
Grande,BMW,218i,-,1.5 - 12V,Combustão,DCT-7,S,E,G,18,122,1,A,\,110,\,\,\,11.2,13.6,\,\,1.78,\,A,C,-
Grande,CAOA CHERY,ARRIZO 6,PRO,1.5T -16V,Combustão,CVT,S,E,F,52,179,2,B,0,115,\,7.4,9.2,10.6,13.4,\,\,1.86,\,B,C,-
Grande,CHEVROLET,CRUZE HB,LT HB AT,1.4T-16V,Combustão,A-6,S,E,F,17,337,2,B,0,120,\,6.8,9.2,10.1,13.1,\,\,1.96,\,C,C,-
Grande,CHEVROLET,CRUZE HB,LTZ HB AT,1.4T-16V,Combustão,A-7,S,E,F,17,337,2,B,0,120,\,6.8,9.2,10.1,13.1,\,\,1.96,\,C,C,-
Grande,CHEVROLET,CRUZE HB,PRE HB AT,1.4T-16V,Combustão,A-8,S,E,F,17,337,2,B,0,120,\,6.8,9.2,10.1,13.1,\,\,1.96,\,C,C,-
Grande,CHEVROLET,CRUZE HB,PRE2 HB AT,1.4T-16V,Combustão,A-9,S,E,F,17,337,2,B,0,120,\,6.8,9.2,10.1,13.1,\,\,1.96,\,C,C,-
Grande,CHEVROLET,CRUZE HB,RS HB AT,1.4T-16V,Combustão,A-10,S,E,F,17,337,2,B,0,120,\,6.8,9.2,10.1,13.1,\,\,1.96,\,C,C,-
Grande,CHEVROLET,CRUZE NB,LT NB AT,1.4T-16V,Combustão,A-6,S,E,F,17,275,2,B,0,114,\,7.1,9.7,10.5,13.9,\,\,1.86,\,B,C,-
Grande,CHEVROLET,CRUZE NB,LTZ NB AT,1.4T-16V,Combustão,A-7,S,E,F,17,275,2,B,0,114,\,7.1,9.7,10.5,13.9,\,\,1.86,\,B,C,-
Grande,CHEVROLET,CRUZE NB,PRE NB AT,1.4T-16V,Combustão,A-8,S,E,F,17,275,2,B,0,114,\,7.1,9.7,10.5,13.9,\,\,1.86,\,B,C,-
Grande,CHEVROLET,CRUZE NB,PRE2 NB AT,1.4T-16V,Combustão,A-9,S,E,F,17,275,2,B,0,114,\,7.1,9.7,10.5,13.9,\,\,1.86,\,B,C,-
Grande,CHEVROLET,CRUZE NB,MID NB AT,1.4T-16V,Combustão,A-10,S,E,F,17,275,2,B,0,114,\,7.1,9.7,10.5,13.9,\,\,1.86,\,B,C,-
Grande,JEEP,COMPASS,S 4XE,1.3 16V T,Plug-in,A-6,S,E,G,40,216,1,A,\,47,34,\,\,11.5,11.2,26.1,24.7,0.80,30,A,A,SIM
Grande,KIA,NIRO,HEV EX,1.6 - 16V,Híbrido,DCT-6,S,E,G,11,91,1,A,\,68,\,\,\,19.8,17.7,\,\,1.10,\,A,A,SIM
Grande,KIA,NIRO,HEV LX,1.6 - 16V,Híbrido,DCT-6,S,E,G,11,91,1,A,\,68,\,\,\,19.8,17.7,\,\,1.10,\,A,A,SIM
Grande,KIA,NIRO,HEV SX,1.6 - 16V,Híbrido,DCT-6,S,E,G,11,91,1,A,\,68,\,\,\,19.8,17.7,\,\,1.10,\,A,A,SIM
Grande,LEXUS,UX250H,LUXURY,2.0 - 16V,Híbrido,CVT,S,E,G,12,73,1,A,\,82,\,\,\,16.6,14.7,\,\,1.33,\,A,B,SIM
Grande,LEXUS,UX250H,DYNAMIC,2.0 - 16V,Híbrido,CVT,S,E,G,12,73,1,A,\,82,\,\,\,16.6,14.7,\,\,1.33,\,A,B,SIM
Grande,MASERATI,GHIBLI,GT HYB,"2,0L-16V",Híbrido,A-8,S,E,G,27,170,3,A,\,153,\,\,\,8.0,10.4,\,\,2.47,\,E,D,-
Grande,Mercedes-Benz,A200 SD,,1.3-16V,Combustão,DCT-7,S,E,G,28,85,1,A,\,111,\,\,\,10.8,14.0,\,\,1.80,\,B,C,-
Grande,Mercedes-Benz,AMG A35SD  4MATIC,,2.0-16V,Combustão,DCT-7,S,E,G,16,114,2,A,\,136,\,\,\,9.1,11.5,\,\,2.20,\,E,C,-
Grande,Mercedes-Benz,AMG GLA35 4M,,2.0-16V,Combustão,DCT-8,S,E,G,24,93,2,A,\,145,\,\,\,8.7,10.4,\,\,2.35,\,E,C,-
Grande,Mercedes-Benz,GLA200,AMG LINE(L7),1.3-16V,Combustão,DCT-7,S,E,G,33,18,2,A,\,110,\,\,\,11.1,13.6,\,\,1.79,\,A,C,-
Grande,Mercedes-Benz,AMG A45S 4MATIC,,2.0-16V,Combustão,DCT-8,S,E,G,24,105,7,B,\,154,\,\,\,7.9,10.5,\,\,2.49,\,E,D,-
Grande,NISSAN,LEAF,TEKNA,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,\,\,\,\,\,\,38.7,31.9,0.58,192,A,A,-
Grande,TOYOTA,COROLLA CROSS,XRV HYBRID,1.8 - 16V,Híbrido,CVT,S,E,F,18,104,4,A,0,79,\,11.8,9.7,17.8,14.7,\,\,1.31,\,A,B,SIM
Grande,TOYOTA,COROLLA CROSS,XRX HYBRID,1.8 - 16V,Híbrido,CVT,S,E,F,18,104,4,A,0,79,\,11.8,9.7,17.8,14.7,\,\,1.31,\,A,B,SIM
Grande,TOYOTA,COROLLA CROSS,XR 20,2.0 - 16V,Combustão,CVT,S,E,F,20,185,3,A,0,109,\,8.2,9.0,11.7,13.0,\,\,1.76,\,A,C,-
Grande,TOYOTA,COROLLA CROSS,XRE 20,2.0 - 16V,Combustão,CVT,S,E,F,20,185,3,A,0,109,\,8.2,9.0,11.7,13.0,\,\,1.76,\,A,C,-
Grande,TOYOTA,COROLLA CROSS,GRS,2.0 - 16V,Combustão,CVT,S,E,F,20,185,3,A,0,109,\,8.2,9.0,11.7,13.0,\,\,1.76,\,A,C,-
Grande,TOYOTA,COROLLA,APREMIUMH,1.8 - 16V,Híbrido,CVT,S,E,F,18,97,5,B,0,77,\,11.8,10.5,17.9,15.4,\,\,1.27,\,A,B,SIM
Grande,TOYOTA,COROLLA,ALTIS HV,1.8 - 16V,Híbrido,CVT,S,E,F,18,97,5,B,0,77,\,11.8,10.5,17.9,15.4,\,\,1.27,\,A,B,SIM
Grande,TOYOTA,COROLLA,XEI 20,2.0 - 16V,Combustão,CVT,S,E,F,19,184,3,A,0,103,\,8.3,9.8,11.9,14.2,\,\,1.68,\,A,B,SIM
Grande,TOYOTA,COROLLA,GLI 20,2.0 - 16V,Combustão,CVT,S,E,F,19,184,3,A,0,103,\,8.3,9.8,11.9,14.2,\,\,1.68,\,A,B,SIM
Grande,TOYOTA,COROLLA,ALTIS 20,2.0 - 16V,Combustão,CVT,S,E,F,19,184,3,A,0,103,\,8.3,9.8,11.9,14.2,\,\,1.68,\,A,B,SIM
Grande,TOYOTA,COROLLA,GRS,2.0 - 16V,Combustão,CVT,S,E,F,19,184,3,A,0,103,\,8.3,9.8,11.9,14.2,\,\,1.68,\,A,B,SIM
Extra Grande,AUDI,A4 Sedan,Prestige,2.0 - 16V,Combustão,DCT-7,S,E,G,20,86,1,A,\,119,\,\,\,10.5,12.5,\,\,1.93,\,A,C,-
Extra Grande,AUDI,A4 Sedan,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,20,86,1,A,\,119,\,\,\,10.5,12.5,\,\,1.93,\,A,C,-
Extra Grande,AUDI,A5 Sportback,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,22,95,1,A,\,121,\,\,\,10.3,12.4,\,\,1.96,\,A,C,-
Extra Grande,AUDI,RS 6 Avant,-,4.0 - 32V,Híbrido,A-8,S,E,G,46,176,1,B,\,230,\,\,\,5.4,7.2,\,\,3.72,\,E,E,-
Extra Grande,AUDI,Q5,Prestige,2.0 - 16V,Combustão,A-7,S,E,G,25,86,1,A,\,149,\,\,\,8.5,10.0,\,\,2.42,\,D,D,-
Extra Grande,AUDI,Q5,S line,2.0 - 16V,Combustão,A-7,S,E,G,25,86,1,A,\,149,\,\,\,8.5,10.0,\,\,2.42,\,D,D,-
Extra Grande,AUDI,Q5,S line Black,2.0 - 16V,Combustão,A-7,S,E,G,25,86,1,A,\,149,\,\,\,8.5,10.0,\,\,2.42,\,D,D,-
Extra Grande,AUDI,Q7,Performance,3.0 - 24V,Híbrido,A-8,S,E,G,20,221,1,A,\,183,\,\,\,7.1,8.1,\,\,2.96,\,E,D,-
Extra Grande,AUDI,Q7,Performance Black,3.0 - 24V,Híbrido,A-8,S,E,G,20,221,1,A,\,183,\,\,\,7.1,8.1,\,\,2.96,\,E,D,-
Extra Grande,AUDI,Q8 Sportback,Performance,3.0 - 24V,Híbrido,A-8,S,E,G,23,127,1,A,\,189,\,\,\,7.0,7.6,\,\,3.06,\,E,D,-
Extra Grande,AUDI,Q8 Sportback,Performance Black,3.0 - 24V,Híbrido,A-8,S,E,G,23,127,1,A,\,189,\,\,\,7.0,7.6,\,\,3.06,\,E,D,-
Extra Grande,AUDI,RS e-tron GT,-,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,\,\,\,\,\,\,29.3,29.1,0.69,313,A,A,-
Extra Grande,AUDI,e-tron S Sportback,-,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,\,\,\,\,\,\,23.6,23.0,0.87,252,A,A,-
Extra Grande,AUDI,e-tron Sportback,Performance,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,\,\,\,\,\,\,22.7,22.8,0.89,246,A,A,-
Extra Grande,AUDI,e-tron Sportback,Performance Black,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,\,\,\,\,\,\,22.7,22.8,0.89,246,A,A,-
Extra Grande,AUDI,e-tron,Performance,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,\,\,\,\,\,\,23.0,23.1,0.88,249,A,A,-
Extra Grande,AUDI,e-tron,Performance Black,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,\,\,\,\,\,\,23.0,23.1,0.88,249,A,A,-
Extra Grande,AUDI,Q5 TFSIe,Performance,2.0 - 16V,Plug-in,A-7,S,E,G,8,173,0,A,\,152,46,\,\,8.5,9.6,20.9,21.6,0.96,37,A,A,SIM
Extra Grande,AUDI,Q5 TFSIe,Performance Black,2.0 - 16V,Plug-in,A-7,S,E,G,8,173,0,A,\,152,46,\,\,8.5,9.6,20.9,21.6,0.96,37,A,A,SIM
Extra Grande,AUDI,Q5 Sportback  TFSIe,Performance,2.0 - 16V,Plug-in,A-7,S,E,G,11,127,0,A,\,156,47,\,\,8.6,8.9,21.8,21.8,0.93,30,A,A,SIM
Extra Grande,AUDI,Q5 Sportback  TFSIe,Performance Black,2.0 - 16V,Plug-in,A-7,S,E,G,11,127,0,A,\,156,47,\,\,8.6,8.9,21.8,21.8,0.93,30,A,A,SIM
Extra Grande,AUDI,RS Q8,(MY23),4.0 - 32V,Híbrido,A-8,S,E,G,46,223,2,B,\,227,\,\,\,5.5,7.1,\,\,3.68,\,E,E,-
Extra Grande,AUDI,RS 5 Sportback,Competition Plus,2.9 - 24 V,Combustão,A-8,S,E,G,19,136,2,A,\,176,\,\,\,6.8,9.6,\,\,2.86,\,E,D,-
Extra Grande,AUDI,RS 5 Sportback,-,2.9 - 24 V,Combustão,A-8,S,E,G,23,114,2,A,\,173,\,\,\,6.9,9.6,\,\,2.82,\,E,D,-
Extra Grande,BMW,420i,Cabrio,2.0 - 16V,Combustão,A-8,S,E,G,11,54,0,A,\,121,\,\,\,9.9,13.3,\,\,1.96,\,A,C,-
Extra Grande,BMW,530e,-,2.0 - 16V,Plug-in,A-8,S,E,G,7,58,1,A,\,126,40,\,\,10.1,11.4,24.3,26.5,0.80,37,A,A,SIM
Extra Grande,BMW,iX3,-,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,37.9,32.7,0.57,381,A,A,-
Extra Grande,BMW,IX xDrive 40,-,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,35.2,29.9,0.62,327,A,A,-
Extra Grande,BMW,IX xDrive 50,-,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,36.4,30.2,0.61,528,A,A,-
Extra Grande,BMW,330e,-,2.0 - 16V,Plug-in,A-8,S,E,G,5,57,0,A,\,133,42,\,\,9.5,11.2,22.4,25.9,0.85,37,A,A,SIM
Extra Grande,BMW,320i,Active Flex,2.0 - 16V,Combustão,A-8,S,E,F,27,137,1,A,0,117,\,7.2,9.0,10.4,13.1,\,\,1.90,\,A,C,-
Extra Grande,BMW,320i,GP Flex,2.0 - 16V,Combustão,A-8,S,E,F,24,148,1,A,0,115,\,7.5,9.2,10.7,13.2,\,\,1.86,\,A,C,-
Extra Grande,BMW,320i,Sport GP Flex,2.0 - 16V,Combustão,A-8,S,E,F,24,148,1,A,0,115,\,7.5,9.2,10.7,13.2,\,\,1.86,\,A,C,-
Extra Grande,BMW,320i,M Sport Flex,2.0 - 16V,Combustão,A-8,S,E,F,23,173,1,A,0,115,\,7.5,9.1,10.6,13.2,\,\,1.86,\,A,C,-
Extra Grande,BMW,i4,40,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,35.9,34.5,0.57,422,A,A,-
Extra Grande,BMW,i4,M50,ELÉTRICO,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,28.1,27.3,0.73,335,A,A,-
Extra Grande,CHEVROLET,EQUINOX,15T PRE,1.5T -16V,Combustão,A-6,S,E,G,17,141,2,A,\,140,\,\,\,9.0,10.8,\,\,2.26,\,C,C,-
Extra Grande,CHEVROLET,EQUINOX,15T RS,1.5T -16V,Combustão,A-6,S,E,G,16,169,1,A,\,133,\,\,\,9.3,11.5,\,\,2.16,\,C,C,-
Extra Grande,CHEVROLET,EQUINOX,15T LT,1.5T -16V,Combustão,A-6,S,E,G,16,169,1,A,\,133,\,\,\,9.3,11.5,\,\,2.16,\,C,C,-
Extra Grande,FORD,Territory,SEL,1.5 - 16V,Combustão,CVT,S,E,G,36,531,2,B,\,141,\,\,\,9.4,9.8,\,\,2.28,\,C,C,-
Extra Grande,FORD,Territory,SEL Plus,1.5 - 16V,Combustão,CVT,S,E,G,36,531,2,B,\,141,\,\,\,9.4,9.8,\,\,2.28,\,C,C,-
Extra Grande,FORD,Territory,Titanium,1.5 - 16V,Combustão,CVT,S,E,G,36,531,2,B,\,141,\,\,\,9.4,9.8,\,\,2.28,\,C,C,-
Extra Grande,JAC,e-J7,e-J7,ELÉTRICO,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,36.4,33.6,0.58,249,A,A,-
Extra Grande,JAGUAR,I-PACE,E400 FIRSTED,ELÉTRICO,Elétrico,A-1,S,E,E,0,0,0,A,\,\,\,\,\,\,\,29.2,26.8,0.72,362,A,A,-
Extra Grande,JAGUAR,I-PACE,E400 S,ELÉTRICO,Elétrico,A-2,S,E,E,0,0,0,A,\,\,\,\,\,\,\,29.2,26.8,0.72,362,A,A,-
Extra Grande,JAGUAR,I-PACE,E400 SE,ELÉTRICO,Elétrico,A-3,S,E,E,0,0,0,A,\,\,\,\,\,\,\,29.2,26.8,0.72,362,A,A,-
Extra Grande,JAGUAR,I-PACE,E400 HSE,ELÉTRICO,Elétrico,A-4,S,E,E,0,0,0,A,\,\,\,\,\,\,\,29.2,26.8,0.72,362,A,A,-
Extra Grande,LEXUS,NX350H,LUXURY,2.5 - 16V,Híbrido,CVT,S,E,G,13,59,0,A,\,92,\,\,\,15.3,12.9,\,\,1.50,\,A,B,SIM
Extra Grande,LEXUS,NX350H,DYNAMIC,2.5 - 16V,Híbrido,CVT,S,E,G,13,59,0,A,\,92,\,\,\,15.3,12.9,\,\,1.50,\,A,B,SIM
Extra Grande,LEXUS,NX350H,F-SPORT,2.5 - 16V,Híbrido,CVT,S,E,G,13,59,0,A,\,92,\,\,\,15.3,12.9,\,\,1.50,\,A,B,SIM
Extra Grande,LEXUS,ES300H,-,2.5 - 16V,Híbrido,CVT,S,E,G,18,58,1,A,\,84,\,\,\,15.8,15.2,\,\,1.36,\,A,B,SIM
Extra Grande,Mercedes-Benz,CLA250,,2.0 - 16V,Combustão,DCT-7,S,E,G,17,166,1,A,\,124,\,\,\,9.5,13.3,\,\,2.01,\,B,C,-
Extra Grande,Mercedes-Benz,CLA250,ADV,2.0 - 16V,Combustão,DCT-7,S,E,G,17,166,1,A,\,124,\,\,\,9.5,13.3,\,\,2.01,\,B,C,-
Extra Grande,Mercedes-Benz,C200,AMG LINE,1.5 - 16V,Híbrido,A-9,S,E,G,19,65,0,A,\,110,\,\,\,11.1,13.9,\,\,1.78,\,A,C,-
Extra Grande,Mercedes-Benz,C300,AMG LINE,2.0 - 16V,Híbrido,A-9,S,E,G,15,91,0,A,\,118,\,\,\,10.4,12.9,\,\,1.92,\,A,C,-
Extra Grande,Mercedes-Benz,EQE 300,,ELÉTRICO,Elétrico,A-1,S,E,E,\,\,\,A,\,\,\,\,\,\,\,29.4,28.3,0.70,369,A,A,-
Extra Grande,Mercedes-Benz,EQA 250,,ELÉTRICO,Elétrico,A-1,S,E,E,\,\,\,A,\,\,\,\,\,\,\,34.6,31.2,0.62,304,A,A,-
Extra Grande,Mercedes-Benz,EQB 250,,ELÉTRICO,Elétrico,A-1,S,E,E,\,\,\,A,\,\,\,\,\,\,\,33.1,30.0,0.64,291,A,A,-
Extra Grande,Mercedes-Benz,EQC400 4M,,ELÉTRICO,Elétrico,A-1,S,E,E,\,\,\,A,\,\,\,\,\,\,\,24.2,23.7,0.85,271,A,A,-
Extra Grande,Mercedes-Benz,AMG CLA35 4MATIC,,2.0-16V,Combustão,DCT-7,S,E,G,16,114,2,A,\,138,\,\,\,9.1,11.1,\,\,2.23,\,C,C,-
Extra Grande,Mercedes-Benz,AMG GLB35 4M,,2.0-16V,Combustão,DCT-8,S,E,G,16,129,1,A,\,152,\,\,\,8.4,10.0,\,\,2.45,\,D,D,-
Extra Grande,Mercedes-Benz,AMG EQS 53 4M,,ELÉTRICO,Elétrico,A-1,S,E,E,0,0,0,A,\,\,\,\,\,\,\,24.4,24.6,0.83,373,A,A,-
Extra Grande,Mercedes-Benz,AMG CLA45S 4M,,2.0-16V,Combustão,DCT-8,S,E,G,33,55,3,A,\,154,\,\,\,7.8,10.8,\,\,2.49,\,D,D,-
Extra Grande,Mercedes-Benz,GLB200,PROGRESSIVE(L7),1.3-16V,Combustão,DCT-7,S,E,G,35,113,2,A,\,123,\,\,\,10.0,12.4,\,\,1.99,\,B,C,-
Extra Grande,Mercedes-Benz,E300,EXCLUSIVE,2.0-16V,Combustão,A-9,S,E,G,12,262,1,A,\,136,\,\,\,8.9,12.0,\,\,2.20,\,C,C,-
Extra Grande,Mercedes-Benz,AMG GLE53 4M,,3.0-24V,Híbrido,A-9,S,E,G,14,391,2,A,\,179,\,\,\,7.0,8.6,\,\,2.92,\,E,D,-
Extra Grande,Mercedes-Benz,GLS 450 4M,,3.0-24V,Híbrido,A-9,S,E,G,10,280,2,A,\,178,\,\,\,7.1,8.8,\,\,2.87,\,E,D,-
Extra Grande,Mercedes-Benz,AMG GLC43,,3.0-24V,Combustão,A-9,S,E,G,13,176,2,A,\,184,\,\,\,6.8,8.7,\,\,2.98,\,E,D,-
Extra Grande,Mercedes-Benz,AMG GLC43,Coupé,3.0-24V,Combustão,A-9,S,E,G,13,176,2,A,\,184,\,\,\,6.8,8.7,\,\,2.98,\,E,D,-
Extra Grande,Mercedes-Benz,AMG GLE63 S CO,Coupé,Híbrido,Híbrido,A-9,S,E,G,24,188,15,B,\,212,\,\,\,5.9,7.4,\,\,3.45,\,E,E,-
Extra Grande,Nissan,Sentra,SENSE,2.0-16V,Combustão,CVT,S,E,G,13,147,0,A,\,110,\,\,\,11.0,13.9,\,\,1.79,\,A,C,-
Extra Grande,Nissan,Sentra,EXCLUSIVE,2.0-16V,Combustão,CVT,S,E,G,13,147,0,A,\,110,\,\,\,11.0,13.9,\,\,1.79,\,A,C,-
Extra Grande,Nissan,Sentra,ADVANCE,2.0-16V,Combustão,CVT,S,E,G,13,147,0,A,\,110,\,\,\,11.0,13.9,\,\,1.79,\,A,C,-
Extra Grande,PORSCHE,MACAN,S,2.9-24V,Combustão,DCT-7,S,E,G,4,85,2,A,\,182,\,\,\,7.0,8.4,\,\,2.96,\,E,D,-
Extra Grande,PORSCHE,MACAN,GTS,2.9-24V,Combustão,DCT-7,S,E,G,3,73,1,A,\,184,\,\,\,6.8,8.4,\,\,3.00,\,E,D,-
Extra Grande,PORSCHE,MACAN,--,2.0-16V,Combustão,DCT-7,S,E,G,32,253,0,B,\,176,\,\,\,7.4,8.3,\,\,2.85,\,E,D,-
Extra Grande,PORSCHE,MACAN,T,2.0-16V,Combustão,DCT-8,S,E,G,32,253,0,B,\,176,\,\,\,7.4,8.3,\,\,2.85,\,E,D,-
Extra Grande,TOYOTA,RAV4H,SXAWD CNT,2.5 - 16V,Híbrido,CVT,S,E,G,13,65,1,C,\,82,\,\,\,17.1,14.5,\,\,1.32,\,A,B,SIM
Extra Grande,TOYOTA,RAV4H,S AWD CNT,2.5 - 16V,Híbrido,CVT,S,E,G,13,65,1,C,\,82,\,\,\,17.1,14.5,\,\,1.32,\,A,B,SIM
Extra Grande,TOYOTA,CAMRY,HV,2.5-16V,Híbrido,CVT,S,E,G,13,74,0,A,\,78,\,\,\,17.4,15.3,\,\,1.27,\,A,B,SIM
Extra Grande,VW,JETTA,GLI 350 TSI,2.0-16V,Combustão,DCT-7,S,E,G,13,112,1,A,\,125,\,\,\,9.9,12.2,\,\,2.03,\,B,C,-
"Utilitário Esportivo
Compacto",CAOA CHERY,TIGGO 5X,PRO,1.5T -16V,Combustão,CVT,S,E,F,62,236,2,B,0,127,\,6.9,8.1,9.9,11.5,\,\,2.06,\,D,C,-
"Utilitário Esportivo
Compacto",CAOA CHERY,TIGGO 5X,PLUS,1.5T -16V,Combustão,CVT,S,E,F,62,236,2,B,0,127,\,6.9,8.1,9.9,11.5,\,\,2.06,\,D,C,-
"Utilitário Esportivo
Compacto",CAOA CHERY,TIGGO 5X,PLS 15T,1.5T -16V,Combustão,CVT,S,E,F,62,236,2,B,0,127,\,6.9,8.1,9.9,11.5,\,\,2.06,\,D,C,-
"Utilitário Esportivo
Compacto",CAOA CHERY,TIGGO 5X,PRO 15T,1.5T -16V,Combustão,CVT,S,E,F,62,236,2,B,0,127,\,6.9,8.1,9.9,11.5,\,\,2.06,\,D,C,-
"Utilitário Esportivo
Compacto",CAOA CHERY,TIGGO 5X,T,1.5T -16V,Combustão,CVT,S,E,F,62,236,2,B,0,127,\,6.9,8.1,9.9,11.5,\,\,2.06,\,D,C,-
"Utilitário Esportivo
Compacto",CAOA CHERY,TIGGO 5X,TXS,1.5T -16V,Combustão,CVT,S,E,F,62,236,2,B,0,127,\,6.9,8.1,9.9,11.5,\,\,2.06,\,D,C,-
"Utilitário Esportivo
Compacto",CAOA CHERY,TIGGO 5X,H,1.5T -16V,Híbrido,CVT,S,E,F,54,461,1,B,0,121,\,8.1,8.3,11.1,10.9,\,\,1.90,\,C,C,-
